,City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
0,Port Elizabeth,ZA,-33.92,25.57,1584227514,95,82,66.2,11.41
1,Rundu,NA,-17.93,19.77,1584227514,86,83,71.6,3.36
2,Ilulissat,GL,69.22,-51.1,1584227515,98,70,1.4,6.93
3,Albany,US,42.6,-73.97,1584227516,75,48,42.01,16.11
4,Rikitea,PF,-23.12,-134.97,1584227516,0,78,78.26,12.12
5,Hithadhoo,MV,-0.6,73.08,1584227517,64,64,82.83,3.47
6,Mount Gambier,AU,-37.83,140.77,1584227517,90,62,57.2,8.05
7,Saint-Philippe,RE,-21.36,55.77,1584227518,59,83,77.0,8.05
8,Ushuaia,AR,-54.8,-68.3,1584227335,40,62,53.6,6.93
9,Saint Paul Harbor,US,57.79,-152.41,1584227519,1,59,37.4,3.36
10,Hasaki,JP,35.73,140.83,1584227520,20,80,39.2,6.93
11,Vaini,TO,-21.2,-175.2,1584227522,75,79,86.0,18.34
12,Kruisfontein,ZA,-34.0,24.73,1584227522,26,85,62.74,7.72
13,Bunda,TZ,-2.05,33.87,1584227346,98,92,65.73,2.35
14,Sistranda,NO,63.73,8.83,1584227524,99,64,36.0,23.04
15,Port Hardy,CA,50.7,-127.42,1584227316,5,32,39.2,13.87
16,Batouri,CM,4.43,14.37,1584227525,98,22,78.96,2.13
17,Marapanim,BR,-0.72,-47.7,1584227464,100,83,81.46,10.76
18,Atuona,PF,-9.8,-139.03,1584227526,21,72,82.04,10.89
19,George Town,MY,5.41,100.34,1584227483,20,83,82.4,3.36
20,Bredasdorp,ZA,-34.53,20.04,1584227528,83,82,66.2,3.36
21,Arosa,CH,46.78,9.68,1584227528,40,79,41.0,2.24
22,Mocuba,MZ,-16.84,36.99,1584227529,61,98,70.7,2.95
23,Amapá,BR,1.0,-52.0,1584227530,100,95,74.68,4.9
24,Kasongo-Lunda,CD,-6.47,16.82,1584227531,100,95,69.42,1.12
25,Bluff,NZ,-46.6,168.33,1584227531,100,74,62.01,4.0
26,Faya,SA,18.39,42.45,1584227532,20,82,60.8,18.34
27,Punta Arenas,CL,-53.15,-70.92,1584227533,75,67,57.2,16.11
28,Bambous Virieux,MU,-20.34,57.76,1584227533,40,88,77.0,13.49
29,Nikolskoye,RU,59.7,30.79,1584227534,76,45,24.8,13.42
30,Carnarvon,AU,-24.87,113.63,1584227278,75,78,77.0,6.93
31,Greystones,IE,53.14,-6.06,1584227535,75,76,48.99,16.11
32,Hong Kong,HK,22.29,114.16,1584227536,10,55,68.0,10.29
33,Oddur,SO,4.12,43.89,1584227537,17,86,73.27,16.62
34,Hobart,AU,-42.88,147.33,1584227537,40,67,60.01,5.82
35,Alofi,NU,-19.06,-169.92,1584227538,100,79,84.2,8.05
36,Bengkulu,ID,-3.8,102.27,1584227333,81,88,75.18,3.09
37,Hermanus,ZA,-34.42,19.23,1584227540,63,96,64.99,1.99
38,Pangnirtung,CA,66.15,-65.71,1584227465,93,99,-33.92,1.74
39,Buritis,BR,-15.62,-46.42,1584227474,82,95,69.49,2.42
40,Los Llanos de Aridane,ES,28.66,-17.92,1584227543,20,63,64.4,16.11
41,Aksarka,RU,66.56,67.8,1584227544,41,89,-3.93,10.51
42,Cape Town,ZA,-33.93,18.42,1584227483,75,82,66.0,18.34
43,Barrow,US,71.29,-156.79,1584227545,75,77,5.0,27.51
44,Jamestown,US,42.1,-79.24,1584227360,90,80,37.99,6.93
45,Puerto Escondido,MX,15.85,-97.07,1584227547,20,79,86.0,10.29
46,Illapel,CL,-31.63,-71.17,1584227548,33,79,56.84,2.15
47,Les Cayes,HT,18.2,-73.75,1584227348,0,74,79.92,8.59
48,Busselton,AU,-33.65,115.33,1584227549,80,98,66.0,13.04
49,Hamilton,US,39.18,-84.53,1584227551,90,93,37.0,12.75
50,Pevek,RU,69.7,170.31,1584227551,77,69,-0.67,6.64
51,Bairiki Village,KI,1.33,172.98,1584227552,20,74,86.0,6.93
52,Asău,RO,46.43,26.4,1584227347,75,56,41.0,9.17
53,Guararé,PA,7.82,-80.28,1584227554,0,63,81.1,17.78
54,Dolores,AR,-36.31,-57.68,1584227555,18,70,60.78,7.54
55,Puerto Cabello,VE,10.47,-68.01,1584227556,39,77,75.96,6.89
56,Mataura,NZ,-46.19,168.86,1584227557,100,74,62.01,4.0
57,Kavaratti,IN,10.57,72.64,1584227522,1,72,81.88,10.38
58,Aykhal,RU,66.0,111.5,1584227558,77,92,17.6,4.47
59,Lokosovo,RU,61.13,74.82,1584227559,100,92,33.8,14.14
60,Kangaatsiaq,GL,68.31,-53.46,1584227559,100,88,-0.42,3.22
61,Port Alfred,ZA,-33.59,26.89,1584227561,95,87,68.0,4.0
62,Dali,CN,25.7,100.18,1584227334,23,79,47.12,2.93
63,Angoche,MZ,-16.23,39.91,1584227562,72,97,72.16,4.81
64,Vardø,NO,70.37,31.11,1584227372,71,63,22.39,25.59
65,Butaritari,KI,3.07,172.79,1584227563,88,72,83.62,10.76
66,Koungou,YT,-12.73,45.2,1584227564,40,79,84.2,10.29
67,Souillac,MU,-20.52,57.52,1584227271,40,88,77.0,7.54
68,Arman',RU,59.7,150.17,1584227328,100,89,8.53,4.97
69,Nyurba,RU,63.28,118.33,1584227566,97,94,13.91,7.47
70,Kahului,US,20.89,-156.47,1584227281,40,74,80.6,12.75
71,Sitka,US,57.05,-135.33,1584227567,1,60,41.0,7.34
72,Saint George,US,37.1,-113.58,1584227568,20,45,64.0,17.22
73,Dikson,RU,73.51,80.55,1584227570,51,99,-18.27,8.41
74,Yellowknife,CA,62.46,-114.35,1584227364,75,51,10.4,11.41
75,Tuatapere,NZ,-46.13,167.68,1584227571,100,74,62.01,4.0
76,Gao,ML,16.64,1.64,1584227572,0,11,76.53,10.71
77,Pangai,TO,-19.8,-174.35,1584227572,100,82,82.35,13.96
78,São Raimundo das Mangabeiras,BR,-7.02,-45.48,1584227573,95,90,76.28,5.35
79,Bubaque,GW,11.28,-15.83,1584227574,5,48,83.75,24.02
80,Basoda,IN,23.85,77.93,1584227575,10,37,60.71,11.81
81,Peniche,PT,39.36,-9.38,1584227576,0,93,57.0,2.24
82,Porto-Novo,BJ,6.5,2.6,1584227381,69,76,83.26,8.03
83,New Norfolk,AU,-42.78,147.06,1584227577,40,67,60.01,5.82
84,Paulo Afonso,BR,-9.41,-38.21,1584227578,16,70,78.8,10.83
85,Finnsnes,NO,69.23,17.98,1584227578,90,92,33.8,26.4
86,Rāvar,IR,31.27,56.81,1584227579,100,30,61.9,5.35
87,Ribeira Grande,PT,38.52,-28.7,1584227580,58,84,55.96,7.16
88,Ahipara,NZ,-35.17,173.17,1584227581,0,68,66.87,8.57
89,Verkhoyansk,RU,67.54,133.38,1584227581,15,86,-22.83,1.81
90,Caribou,US,46.86,-68.01,1584227582,75,50,30.99,17.22
91,São Félix do Xingu,BR,-6.64,-51.99,1584227583,100,95,74.3,2.01
92,Kapaa,US,22.08,-159.32,1584227417,1,57,78.8,11.41
93,Lavrentiya,RU,65.58,-171.0,1584227584,100,74,21.36,9.78
94,Port Lincoln,AU,-34.73,135.87,1584227585,99,68,61.95,17.6
95,Dongsheng,CN,39.82,109.98,1584227586,0,34,32.99,8.14
96,Provideniya,RU,64.38,-173.3,1584227586,78,79,23.22,6.29
97,Havelock,US,34.88,-76.9,1584227587,90,44,63.0,5.82
98,Dhenkānāl,IN,20.67,85.6,1584227582,40,73,71.6,9.17
99,Castro,BR,-24.79,-50.01,1584227588,0,67,64.4,2.06
100,Brăduţ,RO,46.13,25.62,1584227589,100,67,39.0,3.0
101,São João da Barra,BR,-21.64,-41.05,1584227589,68,88,78.8,4.7
102,Aksu,CN,41.12,80.26,1584227590,3,31,36.77,2.53
103,Flinders,AU,-34.58,150.86,1584227591,97,51,66.0,12.75
104,Namatanai,PG,-3.67,152.43,1584227592,100,75,83.17,10.96
